PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,,Survived
1,no,Third,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S,,0
2,yes,First,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C,,1
3,yes,Third,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S,,1
4,yes,First,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S,,1
5,no,Third,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,,S,,0
6,no,Third,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,,0
7,no,First,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S,,0
8,no,Third,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S,,0
9,yes,Third,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,S,,1
10,yes,Second,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,,C,,1
11,yes,Third,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S,,1
12,yes,First,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,S,,1
13,no,Third,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S,,0
14,no,Third,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,S,,0
15,no,Third,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S,,0
16,yes,Second,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,0,248706,16,,S,,1
17,no,Third,"Rice, Master. Eugene",male,2,4,1,382652,29.125,,Q,,0
18,yes,Second,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,S,,1
19,no,Third,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S,,0
20,yes,Third,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,,1
21,no,Second,"Fynney, Mr. Joseph J",male,35,0,0,239865,26,,S,,0
22,yes,Second,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S,,1
23,yes,Third,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q,,1
24,yes,First,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S,,1
